Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10p / 50V,
C2,0805,1,1n / 50V,
C3,0805,1,1u / 50V,
C4,0805,1,100n,
"C5, C6",0805,2,10uF,
D1,0805,1,RED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,DELTRON 4mm banana socket - red,1,Banana plug,
J2,DELTRON 4mm banana socket - black,1,Banana plug,
J5,BarrelJack_Wuerth_6941xx301002,1,Barrel_Jack_MountingPin,
"JP1, JP2, JP3",PinHeader_1x02_P2.54mm_Vertical,3,Jumper_2_Bridged,
R1,0805,1,1k3,
"TP1, TP2, TP3, TP4",KEYS4952,4,TestPoint,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS712,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
